ID,Title,Gross,Distributor,Budget,Count,Asian character,Asian actor,Majority,Sex,setting / fictional inspired,Martial Arts,Model Minority,keywords,animation ,superhero
20140100,Guardians of the Galaxy,"$332,934,626",Walt Disney Studios Motion Pictures,"$170,000,000",0,,,,,0,,,,,
20140200,The Hunger Games: Mockingjay - Part 1,"$313,282,914",Lionsgate Films,"$125,000,000",1,,,,,0,,,,,
20140201,The Hunger Games: Mockingjay - Part 1,,,,,Egeria,Sarita Choudhury,Support,female,,0,0,,,
20140300,Captain America: The Winter Soldier,"$259,766,572",Walt Disney Studios Motion Pictures,"$170,000,000",1,,,,,0,,,,,
20140301,Captain America: The Winter Soldier,,,,,Councilman Yen,Chin Han,Major Support,male,,0,1,,,
20140400,The Lego Movie,"$257,760,692",Warner Bros.,"$60,000,000",0,,,,,0,,,,,
20140500,Transformers: Age of Extinction,"$245,439,076",Paramount Pictures,"$210,000,000",10,,,,,1,,,,,
20140501,Transformers: Age of Extinction,,,,,Su Yueming,Bingbing Li,Major Support,female,,0,1,,,
20140502,Transformers: Age of Extinction,,,,,CIA Analyst,Erika Fong,Support,female,,0,1,,,
20140503,Transformers: Age of Extinction,,,,,Convertible Passenger,Geng Han,Background,male,,0,0,,,
20140504,Transformers: Age of Extinction,,,,,Elevator Boxer,Shiming Zou,Background,male,,1,0,,,
20140505,Transformers: Age of Extinction,,,,,KSI Worker,William Wang,Background,male,,0,1,,,
20140506,Transformers: Age of Extinction,,,,,Attinger's Driver (as Lin Po Hung),Po-Hung Lin,Background,male,,0,0,,,
20140507,Transformers: Age of Extinction,,,,,Hong Kong Police Chief,Michael Wong,Support,male,,0,0,,,
20140508,Transformers: Age of Extinction,,,,,Hong Kong Man in Suit (as Winston Yeh Kingman),King-Man Yip,Background,male,,0,1,,,
20140509,Transformers: Age of Extinction,,,,,Motorcycle Owner,Ray Lui,Background,male,,0,0,,,
20140510,Transformers: Age of Extinction,,,,,Woman in Elevator,Candice Zhao,Background,female,,0,0,,,
20140600,Maleficent,"$241,410,378",Walt Disney Studios Motion Pictures,"$180,000,000",0,,,,,0,,,,,
20140700,X-Men: Days of Future Past,"$233,921,534",Twentieth Century Fox,"$200,000,000",5,,,,,0,,,,,
20140701,X-Men: Days of Future Past,,,,,Blink,Bingbing Fan,Major Support,female,,1,0,,,
20140702,X-Men: Days of Future Past,,,,,Warpath,Booboo Stewart,Major Support,male,,1,0,,,
20140703,X-Men: Days of Future Past,,,,,General Nhuan,Thai-Hoa Le,Support,male,,0,1,,,
20140704,X-Men: Days of Future Past,,,,,Vietnamese Captain,Johnny Tran,Background,male,,0,1,,,
20140705,X-Men: Days of Future Past,,,,,Chinese Translator,Jimmy Chan,Background,male,,0,1,,,
20140800,Dawn of the Planet of the Apes,"$208,545,589",Twentieth Century Fox,"$170,000,000",0,,,,,0,,,,,
20140900,Big Hero 6,"$204,576,654",Walt Disney Studios Motion Pictures,"$165,000,000",3,,,,,1,,,,,
20140901,Big Hero 6,,,,,Tadashi (voice),Daniel Henney,Major Support,male,,0,1,,,
20140902,Big Hero 6,,,,,Hiro (voice),Ryan Potter,Lead,male,,0,0,,,
20140903,Big Hero 6,,,,,Go Go (voice),Jamie Chung,Major Support,female,,0,0,,,
20141000,The Amazing Spider-Man 2,"$202,853,933",Sony Pictures Releasing,"$200,000,000",2,,,,,0,,,,,
20141001,The Amazing Spider-Man 2,,,,,Chinese Grandpa,Clem Cheung,Background,male,,0,0,,,
20141002,The Amazing Spider-Man 2,,,,,Doctor,David Shih,Background,male,,0,1,,,
20150100,Jurassic World,"$652,270,625",Universal Pictures,"$150,000,000",3,,,,,0,,,,,
20150101,Jurassic World,,,,,Dr. Henry Wu,BD Wong,Major Support,male,,0,1,,,
20150102,Jurassic World,,,,,Hamada,Brian Tee,Support,male,,1,0,,,
20150103,Jurassic World,,,,,Chinese Parkgoer,Allan Tam,Background,male,,0,0,,,
20150200,Star Wars: Episode VII - The Force Awakens,"$651,967,269",Walt Disney Studios Motion Pictures,"$245,000,000",3,,,,,0,,,,,
20150201,Star Wars: Episode VII - The Force Awakens,,,,,Tasu Leech,Yayan Ruhian,Support,male,,1,0,,,
